name,delivery_type,delivery_1l,delivery_extra_l,storage_1l,storage_extra_l
FBS: Маркетплейс: Южный федеральный округ СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Южный федеральный округ,Короб,73.6,22.4,0,0
FBS: Невинномысск,Короб,59.8,18.2,0,0
FBS: Маркетплейс: Северо-Кавказский федеральный округ СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Северо-Кавказский федеральный округ,Короб,59.8,18.2,0,0
FBS: Казань,Короб,101.2,30.8,0,0
FBS: Самара (Новосемейкино),Короб,92.0,28.0,0,0
FBS: Маркетплейс: Приволжский федеральный округ СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Приволжский федеральный округ,Короб,92.0,28.0,0,0
FBS: Сарапул,Короб,96.6,29.4,0,0
FBS: Кузнецк СГТ,Короб,46.0,14.0,0,0
FBS: Екатеринбург - Испытателей 14г,Короб,101.2,30.8,0,0
FBS: Екатеринбург - Перспективный 12,Короб,103.5,31.5,0,0
FBS: Маркетплейс: Уральский федеральный округ СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Уральский федеральный округ,Короб,92.0,28.0,0,0
FBS: Челябинск СГТ,Короб,46.0,14.0,0,0
FBS: Новосибирск,Короб,101.2,30.8,0,0
FBS: Маркетплейс: Сибирский федеральный округ СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Сибирский федеральный округ,Короб,92.0,28.0,0,0
FBS: Маркетплейс: Дальневосточный федеральный округ СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Дальневосточный федеральный округ,Короб,71.3,21.7,0,0
FBS: Маркетплейс: Армения СГТ,Короб,46.0,14.0,0,0
FBS: СЦ Ереван,Короб,71.3,21.7,0,0
FBS: Маркетплейс: Беларусь СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Беларусь,Короб,71.3,21.7,0,0
FBS: Атакент,Короб,62.1,18.9,0,0
FBS: Астана Карагандинское шоссе,Короб,66.7,20.3,0,0
FBS: Маркетплейс: Казахстан СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Казахстан,Короб,66.7,20.3,0,0
FBS: Маркетплейс: Кыргызстан СГТ,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Кыргызстан,Короб,71.3,21.7,0,0
FBS: Маркетплейс: Узбекистан,Короб,71.3,21.7,0,0
FBS: Ташкент,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Грузия,Короб,46.0,14.0,0,0
FBS: Маркетплейс: Грузия СГТ,Короб,46.0,14.0,0,0
